customer_id, customer_fname, customer_lname, customer_email, customer_phone,customer_address
1359,Matt, Blouin, Mblouin09@td.com,438-655-5454, 34 Gouin
1983,Kaleen,Bryan, Kbryan@yahoo.ca,555-465-4644,939 Meadow Lane
3273,Izabella,Duncan,Iduncan@gmail.com,543-999-5431, 12 Mill Close
4052,Myla,Raymond,MylaRaymond32@hotmail.com,434-674-5531,5600 Mulberry Street
1491,Marshall,Salazar,Masalazar1992@outlook.com,312-754-1234,45 Maple Avenue
1301,Harriett,Mansell,Mansell.Harriet@rogers.ca,678-874-1231,3000 Rene-Levesque
9309,Rikki,Knox,Rikki132@yahoo.ca,656-788-2424,5645 Sherbrooke East
1661,Leanna,Merritt ,Leanna.Merritt@hotmail.com,987-354-0863, 333 De La Montagne
5758, Dave ,Schmidt, Daveschmidt@hotmail.com,643-653-5532,132 Durocher
2433,Mechelle,Stoneman,MechelleStoneman@hotmail.com,312-777-1234, 43 Gouin
7752,Tyesha,Freitag,TyeshaFreitag@hotmail.com,678-874-1631,939 Red Lane
6653,Dean,Stoecker,DeanStoecker@hotmail.com,656-788-2410, 12 Blue Close
2198,Annelle,Pickney,AnnellePickney@hotmail.com,987-354-0811,5654 Mulberry Street
3583,Margareta,Tacy,MargaretaTacy@hotmail.com,777-653-5532,54 Palet Avenue
1497,Meghann,Placencia,MeghannPlacencia@live.ca,514-655-5454,6653 Rene-Levesque
3585,Kendrick,Cieslak,KendrickCieslak@hotmail.com,438-465-4644,5645 Sherbrooke North
9073,Polly,Isenberg,PollyIsenberg@live.com,543-554-5431, 8873 De La Montagne
1374,Evelyne,Racicot,EvelyneRacicot@live.com,434-186-5531,132 Durocher Est
1863,Augustus,Delaune,AugustusDelaune@live.com,312-754-1422,11 West Mavenue
